uri,ecartico
https://id.rijksmuseum.nl/310140015,https://www.vondel.humanities.uva.nl/ecartico/persons/4509
https://id.rijksmuseum.nl/31011629,https://www.vondel.humanities.uva.nl/ecartico/persons/4509
http://data.bibliotheken.nl/id/thes/p142616362,https://www.vondel.humanities.uva.nl/ecartico/persons/4509
http://data.bibliotheken.nl/id/thes/p070442967,https://www.vondel.humanities.uva.nl/ecartico/persons/2552
https://id.rijksmuseum.nl/31029922,https://www.vondel.humanities.uva.nl/ecartico/persons/2552
http://data.bibliotheken.nl/id/thes/p075559994,https://www.vondel.humanities.uva.nl/ecartico/persons/16152
http://data.bibliotheken.nl/id/thes/p07482502X,https://www.vondel.humanities.uva.nl/ecartico/persons/2619
https://id.rijksmuseum.nl/31030708,https://www.vondel.humanities.uva.nl/ecartico/persons/2619
https://id.rijksmuseum.nl/310141619,https://www.vondel.humanities.uva.nl/ecartico/persons/7174
http://data.bibliotheken.nl/id/thes/p401599760,https://www.vondel.humanities.uva.nl/ecartico/persons/7174
https://id.rijksmuseum.nl/310110220,https://www.vondel.humanities.uva.nl/ecartico/persons/7174
http://data.bibliotheken.nl/id/thes/p401588084,https://www.vondel.humanities.uva.nl/ecartico/persons/7175
http://data.bibliotheken.nl/id/thes/p381315606,https://www.vondel.humanities.uva.nl/ecartico/persons/1011
https://id.rijksmuseum.nl/310175528,https://www.vondel.humanities.uva.nl/ecartico/persons/2957
https://id.rijksmuseum.nl/310205343,https://www.vondel.humanities.uva.nl/ecartico/persons/4753
https://id.rijksmuseum.nl/31011396,https://www.vondel.humanities.uva.nl/ecartico/persons/1012
https://id.rijksmuseum.nl/310200988,https://www.vondel.humanities.uva.nl/ecartico/persons/7861
http://data.bibliotheken.nl/id/thes/p089175298,https://www.vondel.humanities.uva.nl/ecartico/persons/5634
https://id.rijksmuseum.nl/31084087,https://www.vondel.humanities.uva.nl/ecartico/persons/5634
http://data.bibliotheken.nl/id/thes/p389060453,https://www.vondel.humanities.uva.nl/ecartico/persons/1013
https://id.rijksmuseum.nl/31027552,https://www.vondel.humanities.uva.nl/ecartico/persons/2393
http://data.bibliotheken.nl/id/thes/p314949844,https://www.vondel.humanities.uva.nl/ecartico/persons/1903
http://data.bibliotheken.nl/id/thes/p06976705X,https://www.vondel.humanities.uva.nl/ecartico/persons/8321
http://data.bibliotheken.nl/id/thes/p070517266,https://www.vondel.humanities.uva.nl/ecartico/persons/3337
http://data.bibliotheken.nl/id/thes/p075563479,https://www.vondel.humanities.uva.nl/ecartico/persons/45200
http://data.bibliotheken.nl/id/thes/p069889937,https://www.vondel.humanities.uva.nl/ecartico/persons/14972
http://data.bibliotheken.nl/id/thes/p075563444,https://www.vondel.humanities.uva.nl/ecartico/persons/17227
http://data.bibliotheken.nl/id/thes/p074278630,https://www.vondel.humanities.uva.nl/ecartico/persons/1016
http://data.bibliotheken.nl/id/thes/p068634560,https://www.vondel.humanities.uva.nl/ecartico/persons/5177
http://data.bibliotheken.nl/id/thes/p136533949,https://www.vondel.humanities.uva.nl/ecartico/persons/5177
https://id.rijksmuseum.nl/31076423,https://www.vondel.humanities.uva.nl/ecartico/persons/5177
http://data.bibliotheken.nl/id/thes/p069669015,https://www.vondel.humanities.uva.nl/ecartico/persons/6522
https://id.rijksmuseum.nl/31099564,https://www.vondel.humanities.uva.nl/ecartico/persons/6522
http://data.bibliotheken.nl/id/thes/p418128227,https://www.vondel.humanities.uva.nl/ecartico/persons/8188
https://id.rijksmuseum.nl/310194224,https://www.vondel.humanities.uva.nl/ecartico/persons/8188
http://data.bibliotheken.nl/id/thes/p069464006,https://www.vondel.humanities.uva.nl/ecartico/persons/878
https://id.rijksmuseum.nl/3108874,https://www.vondel.humanities.uva.nl/ecartico/persons/878
http://data.bibliotheken.nl/id/thes/p149159595,https://www.vondel.humanities.uva.nl/ecartico/persons/1772
https://id.rijksmuseum.nl/31022161,https://www.vondel.humanities.uva.nl/ecartico/persons/1772
http://data.bibliotheken.nl/id/thes/p353562947,https://www.vondel.humanities.uva.nl/ecartico/persons/880
https://id.rijksmuseum.nl/31032760,https://www.vondel.humanities.uva.nl/ecartico/persons/25491
http://data.bibliotheken.nl/id/thes/p098775073,https://www.vondel.humanities.uva.nl/ecartico/persons/270
https://id.rijksmuseum.nl/31053237,https://www.vondel.humanities.uva.nl/ecartico/persons/3880
http://data.bibliotheken.nl/id/thes/p072310332,https://www.vondel.humanities.uva.nl/ecartico/persons/3880
http://data.bibliotheken.nl/id/thes/p269097511,https://www.vondel.humanities.uva.nl/ecartico/persons/3880
https://id.rijksmuseum.nl/31053238,https://www.vondel.humanities.uva.nl/ecartico/persons/10178
http://data.bibliotheken.nl/id/thes/p070090114,https://www.vondel.humanities.uva.nl/ecartico/persons/10178
http://data.bibliotheken.nl/id/thes/p071633561,https://www.vondel.humanities.uva.nl/ecartico/persons/4215
http://data.bibliotheken.nl/id/thes/p100900194,https://www.vondel.humanities.uva.nl/ecartico/persons/6167
https://id.rijksmuseum.nl/31093093,https://www.vondel.humanities.uva.nl/ecartico/persons/6167
http://data.bibliotheken.nl/id/thes/p095347542,https://www.vondel.humanities.uva.nl/ecartico/persons/44180
http://data.bibliotheken.nl/id/thes/p089194772,https://www.vondel.humanities.uva.nl/ecartico/persons/7102
http://data.bibliotheken.nl/id/thes/p069777608,https://www.vondel.humanities.uva.nl/ecartico/persons/815
http://data.bibliotheken.nl/id/thes/p069941890,https://www.vondel.humanities.uva.nl/ecartico/persons/5475
https://id.rijksmuseum.nl/31079039,https://www.vondel.humanities.uva.nl/ecartico/persons/5475
https://id.rijksmuseum.nl/31052726,https://www.vondel.humanities.uva.nl/ecartico/persons/3846
http://data.bibliotheken.nl/id/thes/p069222096,https://www.vondel.humanities.uva.nl/ecartico/persons/3846
http://data.bibliotheken.nl/id/thes/p273407589,https://www.vondel.humanities.uva.nl/ecartico/persons/8594
http://data.bibliotheken.nl/id/thes/p140330291,https://www.vondel.humanities.uva.nl/ecartico/persons/8257
https://id.rijksmuseum.nl/310122759,https://www.vondel.humanities.uva.nl/ecartico/persons/8257
http://data.bibliotheken.nl/id/thes/p097830488,https://www.vondel.humanities.uva.nl/ecartico/persons/1023
http://data.bibliotheken.nl/id/thes/p344101843,https://www.vondel.humanities.uva.nl/ecartico/persons/5856
http://data.bibliotheken.nl/id/thes/p123608384,https://www.vondel.humanities.uva.nl/ecartico/persons/1380
http://data.bibliotheken.nl/id/thes/p277320976,https://www.vondel.humanities.uva.nl/ecartico/persons/1380
https://id.rijksmuseum.nl/31088163,https://www.vondel.humanities.uva.nl/ecartico/persons/5892
