Community 1 - Period: (1706 - 1802 - Number of books: 79
Name;URI;Begin;End
Lyk-staetsie van zyne doorluchtigste hoogheid [...] Willem Carel Hendrik Friso, prince van Orange en Nassau.;http://data.bibliotheken.nl/id/nbt/p24030165X;1755;1755
Beschryving van een algemeenen graphometer, zynde een allernaauwkeurigst teken-werktuig, uitgevonden door A.G. Eckhardt.;http://data.bibliotheken.nl/id/nbt/p201973456;1778;1778
Nieuwe proeve van klijne gedichten voor kinderen.;http://data.bibliotheken.nl/id/nbt/p242025994;1778;1778
Reize naar Surinamen, en door de binnenste gedeelten van Guiana.;http://data.bibliotheken.nl/id/nbt/p160327687;1799;1799
Het leven en bedryf van den heere Michiel de Ruiter.;http://data.bibliotheken.nl/id/nbt/p291097065;1794;1794
Beschryving der stad Leyden [...]. Derde deel. Bevattende een aanhangzel tot de geestlyke gebouwen.;http://data.bibliotheken.nl/id/nbt/p28049985X;1784;1784
Het zedelijk tooneel, bevattende eenige der beste zedelijke tooneelspelen.;http://data.bibliotheken.nl/id/nbt/p297781995;1792;1792
"Groot volkomen moolenboek; of Naauwkeurig ontwerp van allerhande [...] moolens.";http://data.bibliotheken.nl/id/nbt/p279931131;1736;1736
Alle de werken.;http://data.bibliotheken.nl/id/nbt/p141943343;1790;1790
Beknopte beschrijving van den Rhijn-stroom, benevens de steden, dorpen en plaatsen, aan deszelfs oevers gelegen;http://data.bibliotheken.nl/id/nbt/p31723692X;1796;1796
Vaderlandsche gezichten, of afbeeldingen van den Tegenwoordigen staat der Vereenigde Nederlanden.;http://data.bibliotheken.nl/id/nbt/p17513149X;1786;1786
De zeetriumph der Bataafsche vryheid, op Doggersbank. Bevochten [...] 1781.;http://data.bibliotheken.nl/id/nbt/p16224553X;1782;1782
Geschiedenis der staatsregeling, voor het Bataafsche volk.;http://data.bibliotheken.nl/id/nbt/p160328918;1799;1799
Historie van den Amsterdamschen schouwburg;http://data.bibliotheken.nl/id/nbt/p172208483;1772;1772
Hollands en Zeelands jubel-jaar. Of Tweehonderd-jarige gedagtenis der [...] grondlegging van Neêrlands Republiek [...] onder het wys beleid van Willem den I.;http://data.bibliotheken.nl/id/nbt/p149205333;1772;1772
Chronyk van Hoorn.;http://data.bibliotheken.nl/id/nbt/p157010341;1740;1740
Alkmaer en deszelfs geschiedenissen uit de nagelatene papieren van Simon Eikelenberg [...] beschreven.;http://data.bibliotheken.nl/id/nbt/p227110293;1747;1747
De kunst van nabootzing door gebaarden.;http://data.bibliotheken.nl/id/nbt/p260611751;1790;1790
Geschiedenissen der Vereenigde Nederlanden. Voor de vaderlandsche jeugd.;http://data.bibliotheken.nl/id/nbt/p249363690;1789;1789
De Nederlandsche stad- en dorp-beschrijver [...] II deel. (Delfland).;http://data.bibliotheken.nl/id/nbt/p296140775;1793;1793
Dichtlievende mengelingen.;http://data.bibliotheken.nl/id/nbt/p239923855;1764;1764
Eenige Zeeuwsche oudheden, uit echte stukken opgehelderd.;http://data.bibliotheken.nl/id/nbt/p160582172;1780;1780
Community 3 - Period: (1607 - 1655 - Number of books: 35
Name;URI;Begin;End
De Hollandsche-liis, met de Brabandsche-bely: poeetischer wyse voorgestelt en gedicht.;http://data.bibliotheken.nl/id/nbt/p851233503;1629;1629
Historie der Neder-landscher ende haerder na-buren oorlogen ende geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p852488211;1623;1623
Spiegel van den ouden ende nieuvven tijdt.;http://data.bibliotheken.nl/id/nbt/p038108895;1632;1632
Sinne-vonck op den Hollandtschen turf.;http://data.bibliotheken.nl/id/nbt/p852778015;1634;1634
Silenus Alcibiadis, sive Protevs.;http://data.bibliotheken.nl/id/nbt/p147579538;1624;1624
Hovwelyck. Dat is De gansche gelegentheyt des echten staets.;http://data.bibliotheken.nl/id/nbt/p840515898;1625;1625
Silenvs Alcibiadis sive Protevs.;http://data.bibliotheken.nl/id/nbt/p852005938;1622;1622
Academie de l'espée de Girard Thibault d'Anvers: ou se demonstrent par reigles mathematiques sur le fondement d'un cercle mysterieux la theorie et pratique des [...] secrets du maniement des armes a pied et a cheval.;http://data.bibliotheken.nl/id/nbt/p832859222;1630;1630
Hovwelyck, dat is De gantsche ghelegentheyt des echten-staets.;http://data.bibliotheken.nl/id/nbt/p078323444;1628;1628
Relation en forme de journal, du voyage et sejour, que [...] Charles II roy de la Grand' Bretagne, &c. a fait en Hollande.;http://data.bibliotheken.nl/id/nbt/p852344570;1660;1660
Chronici Zelandiæ libri duo.;http://data.bibliotheken.nl/id/nbt/p830694242;1634;1634
Tafereel van de belacchende werelt, en des selfs geluckige eeuwe.;http://data.bibliotheken.nl/id/nbt/p852932715;1635;1635
I.V. Nyenborchs hof-stede. Met desselfs andere bedenckingen, gedichten en historien.;http://data.bibliotheken.nl/id/nbt/p82304291X;1659;1659
Proteus ofte Minne-beelden verandert in sinne-beelden.;http://data.bibliotheken.nl/id/nbt/p842035931;1627;1627
Nederduytsche poemata.;http://data.bibliotheken.nl/id/nbt/p852554605;1618;1618
Afbeelding van't stadthuys van Amsterdam.;http://data.bibliotheken.nl/id/nbt/p841696241;1661;1661
Historische beschrijvinghe der seer wijt beroemde coop-stadt Amsterdam.;http://data.bibliotheken.nl/id/nbt/p850625203;1614;1614
Het gulden cabinet vande edele vry schilder-const.;http://data.bibliotheken.nl/id/nbt/p31547047X;1662;1662
Self-strydt. Dat is Krachtighe bevveginghe van vleesch ende geest, poëtischer vvijse vertoont in den persoon [...] Joseph.;http://data.bibliotheken.nl/id/nbt/p833102028;1625;1625
Johannis Vytenbogaerts leven, kerckelijcke bedieninghe ende zedighe verantwoordingh.;http://data.bibliotheken.nl/id/nbt/p86220996X;1646;1646
Self-stryt, dat is Onderlinghe worstelinghe van goede ende quade gedachten.;http://data.bibliotheken.nl/id/nbt/p852705484;1628;1628
Afbeelding van't stadthuys van Amsterdam.;http://data.bibliotheken.nl/id/nbt/p146809416;1660;1669
Emblemata.;http://data.bibliotheken.nl/id/nbt/p842035648;1625;1625
Silenvs Alcibiadis, sive Protevs.;http://data.bibliotheken.nl/id/nbt/p830294082;1618;1618
Beschryvinge ende lof der stad Haerlem in Holland.;http://data.bibliotheken.nl/id/nbt/p823048063;1628;1628
Effigies & vitæ professorvm academiæ Groningæ & Omlandiæ;http://data.bibliotheken.nl/id/nbt/p822591863;1654;1654
'sWerelts begin, midden, eynde, besloten in den trov-ringh, met den proef-steen van den selven.;http://data.bibliotheken.nl/id/nbt/p831773278;1637;1637
Lavre-crans voor Lavrens Coster van Haerlem, eerste vinder vande boeck-drvckery.;http://data.bibliotheken.nl/id/nbt/p823047857;1628;1628
Zinne-vverck.;http://data.bibliotheken.nl/id/nbt/p853409560;1624;1624
Hovwelyck, dat is: De gansche gelegentheyt des echten-staets.;http://data.bibliotheken.nl/id/nbt/p141546956;1634;1634
Spiegel van den ouden ende nieuvven tijt.;http://data.bibliotheken.nl/id/nbt/p831685654;1635;1635
De groote bron der minnen.;http://data.bibliotheken.nl/id/nbt/p84144613X;1622;1622
Maechden-plicht ofte ampt der ionck-vrovvven, in eerbaer liefde, aen-ghewesen door sinne-beelden.;http://data.bibliotheken.nl/id/nbt/p830294937;1618;1618
Tafereel van sinne-mal: vvaer in verscheyden verthooninghen werden aenghewesen, met [...] sinne-dichten, en sang-liedekens.;http://data.bibliotheken.nl/id/nbt/p83112525X;1623;1623
Zeevsche nachtegael, ende des selfs dryderley gesang;http://data.bibliotheken.nl/id/nbt/p831125780;1623;1623
Community 4 - Period: (1674 - 1768 - Number of books: 26
Name;URI;Begin;End
Het bloedig tooneel, of Martelaers spiegel der doops-gesinde of weereloose christenen.;http://data.bibliotheken.nl/id/nbt/p100933726;1685;1685
't Verwaerloosde Formosa, of Waerachtig verhael, hoedanigh door verwaerloosinge der Nederlanders in Oost-Indien, het eylant Formosa, van [...] Coxinja, overrompelt [...] is geworden.;http://data.bibliotheken.nl/id/nbt/p850652669;1675;1675
De konincklycke triumphe vertoonende alle de eerpoorten [...] opgerecht in 'sGravenhage 1691. ter eere van Willem de III.;http://data.bibliotheken.nl/id/nbt/p851079709;1691;1691
Historie des Ouden en Nieuwen Testaments.;http://data.bibliotheken.nl/id/nbt/p850281059;1700;1700
Engelants schouwtoneel [...].;http://data.bibliotheken.nl/id/nbt/p191681415;1688;1689
Amsterdamsche buitensingel, nevens de omleggende dorpen, opgeheldert door aanteekeningen, over veele voornaame geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p183107845;1738;1738
Afbeelding der hertstogten, of Middelen om dezelve volkomen te leeren afteekenen.;http://data.bibliotheken.nl/id/nbt/p262004798;1728;1728
Descriptio Frisiae inter Scaldis portum veterem & Amisiam.;http://data.bibliotheken.nl/id/nbt/p841732922;1701;1701
Antiquitates Belgicæ, of Nederlandsche oudtheden.;http://data.bibliotheken.nl/id/nbt/p185267661;1756;1756
Afbeelding der hertstogten, of Middelen om dezelve volkomen te leeren afteekenen.;http://data.bibliotheken.nl/id/nbt/p261672665;1703;1703
"Omstandigh vervolgh op Joh. Lodew. Gottfrieds Historische kronyck; of Algemeene historische gedenk-boeken der voornaemste uytgeleesenste weereldlycke en kercklyke geschiedenissen.";http://data.bibliotheken.nl/id/nbt/p262635216;1698;1698
Voorbeelden der lusthof-cieraaden.;http://data.bibliotheken.nl/id/nbt/p171647297;1700;1799
Tooneel der Vereenigde Nederlanden, en onderhorige landschappen, geopent in een algemeen historisch, genealogisch, geographisch, en staatkundig woordenboek.;http://data.bibliotheken.nl/id/nbt/p157460614;1725;1725
De schriftuurlyke geschiedenissen en gelykenissen van het Oude en Nieuwe Verbond.;http://data.bibliotheken.nl/id/nbt/p23861770X;1712;1712
Kleyne en beknopte atlas, of Tooneel des oorlogs in Europa;http://data.bibliotheken.nl/id/nbt/p31780880X;1753;1753
Beschryving der Nederlandsche historipenningen: of beknopt verhaal van 'tgene sedert [...] koning Philips [...] tot het sluyten van den Uytrechtschen vreede, in de zeventien Nederlandsche gewesten is voorgevallen.;http://data.bibliotheken.nl/id/nbt/p224242636;1723;1723
Taferelen der voornaamste geschiedenissen van het Oude en Nieuwe Testament, en andere boeken, bij de Heilige Schrift gevoegt, door de vermaarde kunstenaars Hoet, Houbraken, en Picart getekent [...] en met beschrijvingen uitgebreid;http://data.bibliotheken.nl/id/nbt/p201973871;1728;1728
Voorne caart-boeck van alle de dorpen, en polders gelegen inden lande van Oost, ende West Voorne;http://data.bibliotheken.nl/id/nbt/p24280070X;1701;1701
Opera omnia.;http://data.bibliotheken.nl/id/nbt/p833693441;1696;1696
Representation, ou l'on voit un grand nombre des isles [...] et ports de mer, comme aussi les habillemens & meurs des peuples [...] dans les quatre parties de l'univers.;http://data.bibliotheken.nl/id/nbt/p239941144;1700;1799
Beschryving van oud en niew Rome.;http://data.bibliotheken.nl/id/nbt/p187658242;1704;1704
