Community 1 - Period: (1702 - 1800 - Number of books: 123
Name;URI;Begin;End
Catti aborigines Batavorum. Dat is: De Katten de voorouders der Batavieren, ofte De twee Katwijken aan see en aan den Rijn. Met de huisen Te Britten en Sand.;http://data.bibliotheken.nl/id/nbt/p238026205;1745;1745
Ter eere van den weledelen heere Jasper Bolten Jacobsz. [...] toen zyn edele de capiteins plaats [...] ten tweede maale was toegesegt, dog [...] niet wierd voorgestelt;http://data.bibliotheken.nl/id/nbt/p393201651;1758;1758
Bybel, dat is, De gansche H. Schrift;http://data.bibliotheken.nl/id/nbt/p152148930;1751;1751
Boek-zaal der Nederduytsche bybels.;http://data.bibliotheken.nl/id/nbt/p185226329;1732;1732
Impostures innocentes, ou recueil d'estampes d'apres divers peintres [...] par Bernard Picart [...] avec son elogue historique et le catalogue de ses ouvrages;http://data.bibliotheken.nl/id/nbt/p304432008;1734;1734
"Schatkamer der Nederlandsse[!] oudheden; of Woordenboek, behelsende Nederlands steden.";http://data.bibliotheken.nl/id/nbt/p170140199;1711;1711
Stichtelyke zinnebeelden, en bybel-stoffen.;http://data.bibliotheken.nl/id/nbt/p277309395;1742;1742
Byzondere aenmerkingen over het aenleggen van pragtige en gemeene landhuizen, lusthoven, plantagien.;http://data.bibliotheken.nl/id/nbt/p271534516;1737;1737
Les avantures de Telemaque, fils d'Ulysse.;http://data.bibliotheken.nl/id/nbt/p167648578;1761;1761
Beschryving der stad Utrecht.;http://data.bibliotheken.nl/id/nbt/p174825781;1757;1757
Geschiedenis dier christenen, welke in de Vereenigde Nederlanden onder de protestanten mennoniten genaamd worden.;http://data.bibliotheken.nl/id/nbt/p296985538;1743;1743
Beschryvinge der stadt Heusden, waar in het begin, aanwasch, en tegenwoordige staat dier stadt verhaalt worden.;http://data.bibliotheken.nl/id/nbt/p235191434;1743;1743
Nieuwe geographie, of aardrijksbeschrijving.;http://data.bibliotheken.nl/id/nbt/p302559582;1773;1773
Kleefsche en Zuid-Hollandsche Arkadia, of Dag-verhaal van twee reizen, in en omtrent die gewesten gedaan.;http://data.bibliotheken.nl/id/nbt/p185520421;1730;1730
Oorspronkelyk en vermaard konstryk tekenboek.;http://data.bibliotheken.nl/id/nbt/p184218608;1740;1740
Gebouwen, gezigten, en oudheden der stad Amsterdam;http://data.bibliotheken.nl/id/nbt/p160656494;1736;1736
Bartholomeus las Casas, treurspel.;http://data.bibliotheken.nl/id/nbt/p170174476;1785;1785
Nymegen, de oude hoofdstad der Batavieren.;http://data.bibliotheken.nl/id/nbt/p239759508;1733;1733
Nieuwe proeve van klijne gedichten voor kinderen.;http://data.bibliotheken.nl/id/nbt/p242025994;1778;1778
Haerlemmer-meer-boeck, dienende tot een remonstrantie, verklaringh ende voor-bereydinge om de Haerlemmer ende de Leytse-meer te bedijcken.;http://data.bibliotheken.nl/id/nbt/p056687788;1669;1669
"Tweede vervolg van de Handvesten; ofte privilegien ende octroyen [...] der stad Amstelredam: voortgezet tot in het jaar 1777";http://data.bibliotheken.nl/id/nbt/p237921863;1778;1778
Histori der Nederlandsche vorsten [...] sedert de regeering van Albert, graaf van Holland, tot den dood van keizer Karel den Vyfden [...] met meer dan duizend historipenningen [...] opgehelderd. ;http://data.bibliotheken.nl/id/nbt/p201972107;1732;1732
Geschiedenissen der Vereenigde Nederlanden. Voor de vaderlandsche jeugd.;http://data.bibliotheken.nl/id/nbt/p249363690;1789;1789
Architectura mechanica, of Moole-boek van eenige opstallen van moolens.;http://data.bibliotheken.nl/id/nbt/p284200638;1727;1727
De levens-beschryvingen der Nederlandsche konst-schilders en konst-schilderessen.;http://data.bibliotheken.nl/id/nbt/p151818983;1729;1729
Keten der bybelsche geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p174218443;1766;1766
"Handvesten; ofte privilegien ende octroyen [...] der stad Amstelredam.";http://data.bibliotheken.nl/id/nbt/p235672807;1748;1748
Aloude Hollandsche histori der keyzeren, koningen, hertogen en graaven [...] sedert de komst der Batavieren in het thans genaamde Holland, tot de herstelling van 'sgraaven Florents den eerstens zoon.;http://data.bibliotheken.nl/id/nbt/p189643773;1734;1734
"Zeemans onderwijzer in de tekenkunst; of, Handleiding, om door [...] perspectivische regelen, alle landverkenningen, kusten, baaien [...] en wat een' zeeman meer voorkomt, op het papier wiskundig aftetekenen.";http://data.bibliotheken.nl/id/nbt/p17390386X;1786;1786
Wegwyzer door Amsterdam;http://data.bibliotheken.nl/id/nbt/p177081430;1713;1713
Description de la chambre et lit de parade sur lequel le corps de [...] Anne, princesse royale de la Grande-Bretagne [...] a été exposé [...].;http://data.bibliotheken.nl/id/nbt/p23024453X;1759;1759
Amsterdam, in zyne opkomst, aanwas, geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p187660123;1760;1760
